file_name,state,city,agency,station_location,start_month,start_month_num,start_year,latitude,longitude
AS007,Assam,Byrnihat,PCBA,"Central Academy for SFS, Byrnihat ",December,12,2022,26.0515133,91.8696411
AS008,Assam,Silchar,PCBA,"Tarapur, Silchar ",January,1,2023,24.8357721,92.7996391
AS009,Assam,Nagaon,PCBA,"Christianpatty, Nagaon ",March,3,2023,26.3510707,92.6878774
BR001,Bihar,Patna,BSPCB,"IGSC Planetarium Complex, Patna ",July,7,2012,25.5960992,85.16631149999999
BR002,Bihar,Muzaffarpur,BSPCB,"Muzaffarpur Collectorate, Muzaffarpur ",October,10,2015,26.1482548,85.3316097
BR003,Bihar,Gaya,BSPCB,"Collectorate, Gaya ",March,3,2016,24.7910258,85.0065139
BR004,Bihar,Patna,BSPCB,"Samanpura, Patna ",December,12,2019,25.6074609,85.08456749999999
BR005,Bihar,Patna,BSPCB,"Rajbansi Nagar, Patna ",December,12,2019,25.6058892,85.1097491
BR006,Bihar,Patna,BSPCB,"Muradpur, Patna ",December,12,2019,25.6194928,85.14663999999999
BR007,Bihar,Hajipur,BSPCB,"Industrial Area, Hajipur ",March,3,2020,25.6927811,85.24011639999999
BR008,Bihar,Patna,BSPCB,"DRM Office Danapur, Patna ",March,3,2020,25.5890185,85.04291789999999
BR009,Bihar,Gaya,BSPCB,"SFTI Kusdihra, Gaya ",March,3,2020,24.762915,84.9819212
BR010,Bihar,Patna,BSPCB,"Govt. High School Shikarpur, Patna ",March,3,2020,25.5928958,85.2272617
BR011,Bihar,Muzaffarpur,BSPCB,"Buddha Colony, Muzaffarpur ",August,8,2020,26.1166997,85.39950309999999
BR012,Bihar,Rajgir,BSPCB,"Dangi Tola, Rajgir ",July,7,2021,25.0281986,85.420791
BR013,Bihar,Bihar Sharif,BSPCB,"D M Colony, Bihar Sharif ",July,7,2021,25.2033713,85.5142297
BR014,Bihar,Motihari,BSPCB,"Gandak Colony, Motihari ",July,7,2021,26.6506888,84.9114654
BR015,Bihar,Bettiah,BSPCB,"Kamalnath Nagar, Bettiah ",July,7,2021,26.8040197,84.5104212
BR016,Bihar,Darbhanga,BSPCB,"Town Hall   Lal Bagh, Darbhanga ",July,7,2021,26.1514392,85.8934836
BR017,Bihar,Sasaram,BSPCB,"Dada Peer, Sasaram ",July,7,2021,24.951303,84.0021995
BR018,Bihar,Munger,BSPCB,"Town Hall, Munger ",July,7,2021,25.3766685,86.47141289999999
BR019,Bihar,Muzaffarpur,BSPCB,"MIT Daudpur Kothi, Muzaffarpur ",July,7,2021,26.1419666,85.3633507
